alpha,seed,centralized_accuracy,centralized_macro_f1,fedavg_accuracy,fedavg_macro_f1,local_only_accuracy_mean,local_only_accuracy_std,local_only_macro_f1_mean,local_only_macro_f1_std,centralized_minus_fedavg_accuracy,fedavg_minus_local_accuracy
1.0,42,0.9889837510327734,0.9846034541392875,0.9913706049756724,0.9862404620940969,0.902983567428624,0.021408306434750557,0.8647441333442216,0.029107799753546715,-0.0023868539428990587,0.08838703754704846
100.0,42,0.9889837510327734,0.9846034541392875,,,0.9668778114385385,0.005469257012009621,0.9531304661297006,0.006047546863555908,,
