alpha,seed,client_id,train_samples,accuracy,macro_f1,label_entropy,classes_present,largest_class_fraction
1.0,42,0,5785,0.919856788763426,0.8900677801311566,3.2722360488714717,38,0.11616248919619707
1.0,42,1,7646,0.877811438538511,0.8245580175501638,2.8597918480683773,38,0.24705728485482606
1.0,42,2,7531,0.8868080418617461,0.8425637633175926,3.125133493520346,38,0.1544283627672288
1.0,42,3,8002,0.9353713393922702,0.9032912211585938,3.223474037058099,38,0.09385153711572107
1.0,42,4,10120,0.8950702285871661,0.8632398845636015,2.571633638758791,38,0.2802371541501976
100.0,42,0,8096,0.9651152116037822,0.9533666611319564,3.302020969903706,38,0.11166007905138339
100.0,42,1,7626,0.9639217846323327,0.9501988898065467,3.3609174436177143,38,0.0990034093889326
100.0,42,2,7797,0.9706233360873956,0.9558122472545092,3.3718376547239375,38,0.09849942285494422
100.0,42,3,7651,0.97521343982374,0.962275692494646,3.348696913228316,38,0.10260096719383087
100.0,42,4,7914,0.959515285045442,0.9439988399608453,3.3195953299275085,38,0.11372251705837756
